iter	Passed	Remaining
0	19	19262
1	35	17766
2	48	16180
3	67	16823
4	88	17555
5	114	18893
6	142	20248
7	164	20340
8	189	20914
9	213	21121
10	236	21276
11	260	21431
12	276	20967
13	292	20628
14	315	20699
15	339	20907
16	365	21123
17	387	21155
18	410	21204
19	436	21365
20	448	20899
21	458	20375
22	476	20259
23	495	20160
24	511	19967
25	528	19791
26	539	19445
27	553	19197
28	570	19092
29	589	19045
30	608	19019
31	620	18768
32	636	18653
33	654	18597
34	673	18570
35	689	18468
36	705	18358
37	721	18253
38	737	18166
39	755	18123
40	764	17886
41	781	17822
42	800	17811
43	817	17766
44	834	17712
45	861	17860
46	891	18081
47	902	17901
48	936	18177
49	948	18016
50	966	17988
51	983	17925
52	1000	17877
53	1016	17802
54	1034	17771
55	1046	17640
56	1062	17575
57	1075	17466
58	1082	17263
59	1096	17171
60	1109	17085
61	1121	16963
62	1141	16978
63	1163	17018
64	1175	16907
65	1184	16763
66	1196	16661
67	1215	16653
68	1229	16583
69	1245	16542
70	1260	16497
71	1271	16393
72	1292	16418
73	1311	16417
74	1328	16390
75	1345	16360
76	1362	16326
77	1380	16322
78	1397	16290
79	1414	16271
80	1422	16135
81	1438	16104
82	1451	16037
83	1461	15934
84	1477	15905
85	1493	15874
86	1509	15843
87	1518	15741
88	1529	15659
89	1536	15535
90	1555	15538
91	1575	15545
92	1580	15409
93	1599	15412
94	1621	15446
95	1641	15459
96	1660	15457
97	1678	15445
98	1696	15442
99	1715	15435
100	1725	15361
101	1743	15345
102	1761	15338
103	1778	15320
104	1794	15297
105	1806	15236
106	1822	15210
107	1827	15090
108	1843	15071
109	1860	15054
110	1871	14988
111	1887	14966
112	1894	14872
113	1906	14815
114	1924	14810
115	1945	14822
116	1961	14806
117	1967	14708
118	1984	14693
119	1989	14590
120	2009	14596
121	2031	14618
122	2052	14635
123	2076	14668
124	2082	14575
125	2102	14583
126	2113	14526
127	2121	14450
128	2130	14382
